#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
2129.3,310,102.344746
1452.1,405,102.411139
1013.8,476,102.489094
1349.8,427,102.875139
1200.2,424,102.945623
1559.8,444,103.019607
1987.7,236,103.058705
1044.8,412,103.1273
1295.5,418,103.512908
1195.05,342,103.569842
1157.5,500,103.653576
740.2,352,103.71221
1253.15,500,103.795798
1179.05,500,104.20466
985.75,500,104.290004
1668.7,295,104.339853
889.8,422,104.410905
1357.0,373,104.473564
1207.2,404,104.856576
1130.3,415,104.924874
1696.6,339,104.980795
1182.4,429,105.05114
1343.2,423,105.121485
1744.4,276,105.167447
1119.85,376,105.545136
1360.8,420,105.616174
1092.65,500,105.698926
1440.3,344,105.756233
1125.1,396,105.821931
1017.55,500,106.225819
1997.8,435,106.299277
1298.1,386,106.364184
1055.8,399,106.43135
1582.0,368,106.493171
1199.1,378,106.872522
2570.0,271,106.91733
769.8,500,106.99944
1435.9,418,107.068422
1114.1,402,107.135455
1030.5,500,107.532622
1521.0,462,107.60885
1359.0,420,107.678112
1366.8,384,107.741445
986.9,357,107.799649
1506.25,500,108.198378
1407.95,416,108.267846
1018.55,499,108.350804
690.65,500,108.433317
941.05,500,108.832554
1188.8,460,108.90968
1285.5,411,108.97861
1955.7,386,109.043214
2156.3,310,109.094828
1034.2,480,109.49131
1307.9,381,109.554435
1454.5,332,109.609851
1412.95,438,109.682736
857.6,500,109.766051
1130.7,418,110.153351
1424.9,419,110.223056
1456.3,338,110.279042
1684.8,326,110.333236
1434.1,408,110.400634
2318.1,285,110.763054
941.6,500,110.847227
792.45,500,110.931413
1833.6,385,110.996361
1178.6,492,111.079796
967.7,298,111.44498
1294.7,347,111.503517
1349.8,410,111.572213
1672.6,407,111.640207
1109.7,371,111.70216
1841.9,279,111.748213
1678.9,231,112.103568
1256.7,412,112.171743
2266.9,375,112.233803
1101.9,500,112.316617
765.8,500,112.399142
1191.25,354,112.772518
1442.1,359,112.831741
1433.9,400,112.897596
1032.2,423,112.966958
1380.0,343,113.023023
1246.9,498,113.421749
2400.8,273,113.467851
1449.7,327,113.523348
1183.85,385,113.58746
1350.4,428,113.658924
1598.1,385,114.040823
1276.45,324,114.095141
1670.2,396,114.161474
1056.2,277,114.207549
1320.65,500,114.291175
1081.05,500,114.373955
1913.3,377,114.753007
1763.7,422,114.824344
2125.3,319,114.877824
1194.0,409,114.945813
1279.7,355,115.004912
1407.6,500,115.40405
2074.7,352,115.463782
1581.05,483,115.544865
1189.0,481,115.624864
1614.95,500,116.026094
1112.8,500,116.110553
1182.3,500,116.193807
1672.7,333,116.24933
1260.6,500,116.331859
1805.5,344,116.706197
1443.9,422,116.776138
2322.5,276,116.821913
1686.0,292,116.870449
1526.15,372,116.931991
1638.5,302,116.981663
2087.4,256,117.338649
1154.1,500,117.421687
1527.0,500,117.504343
1246.45,500,117.5871
941.45,500,117.984711
784.25,438,118.057076
1270.9,455,118.132659
951.7,410,118.200436
1440.1,381,118.263332
1424.9,404,118.644628
1588.5,480,118.724288
2131.1,269,118.768808
1416.7,470,118.846648
1996.8,364,118.906854
1362.8,454,119.298665
767.65,500,119.3817
1105.3,500,119.464399
1179.25,500,119.547078
1994.7,337,119.603404
1334.95,500,120.003266
1352.8,360,120.063191
764.6,500,120.147109
2015.7,295,120.198246
1823.25,414,120.269081
1032.8,500,120.678403
1353.6,408,120.74681
1116.7,452,120.82402
1826.6,454,120.89954
1760.9,335,120.954688
1489.55,500,121.367391
1035.2,448,121.444997
1377.0,356,121.50433
1105.1,436,121.576962
1294.5,290,121.625222
1195.6,405,122.015778
952.9,497,122.098723
1982.9,330,122.15362
1354.0,382,122.217203
1307.7,307,122.268015
1698.6,250,122.631372
956.9,356,122.692156
1365.2,356,122.75211
1274.7,396,122.818713
1521.2,385,122.883871
1027.0,448,122.960649
1190.6,395,123.353883
1769.6,267,123.399422
1597.1,369,123.461598
1648.9,383,123.526034
1713.0,500,123.610119
2047.4,295,123.980244
1607.3,301,124.031129
1424.1,466,124.108605
1221.6,387,124.173108
879.2,461,124.250469
1434.7,357,124.629817
1313.3,500,124.713583
1265.7,480,124.793905
1687.3,230,124.831854
1164.1,500,124.915164
1099.9,463,125.308369
1751.9,479,125.388164
1702.2,318,125.440521
1153.7,500,125.523643
1185.2,416,125.59399
1441.1,444,125.984359
1494.0,464,126.062284
1019.9,258,126.105808
1345.85,444,126.179742
1689.2,441,126.252959
1263.0,500,126.655407
1819.7,235,126.694528
1689.4,293,126.743395
1193.1,387,126.807774
1925.5,439,126.88026
1446.3,388,127.261265
1409.3,460,127.33808
1087.55,500,127.421406
1589.1,319,127.474871
975.5,398,127.541215
1031.8,494,127.940229
618.55,500,128.022648
2012.5,205,128.056241
955.1,475,128.136126
1433.5,434,128.208507
1019.2,405,128.591193
801.3,451,128.66651
1451.3,326,128.72102
1073.0,302,128.771103
1267.3,402,128.838065
1514.1,297,128.887373
