#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
411.6,163,15.913185
967.9,202,16.266207
958.4,189,16.296682
570.6,156,16.321598
1137.1,168,16.348583
974.1,194,16.379759
672.1,177,16.408117
509.1,186,16.438245
966.7,174,16.466187
595.4,165,16.492789
887.2,200,16.524916
739.2,184,16.55523
849.1,215,16.908259
818.1,183,16.937394
833.9,178,16.965603
731.0,170,16.992556
483.7,178,17.020554
595.0,174,17.04892
752.0,207,17.082472
894.8,190,17.113684
1214.4,165,17.140377
975.3,191,17.171262
1213.8,169,17.198368
1538.2,172,17.544241
648.1,162,17.570664
651.5,172,17.598263
579.0,194,17.629459
500.9,163,17.65558
645.9,177,17.683986
895.8,175,17.711985
722.6,183,17.741591
733.8,188,17.771752
415.8,189,17.802098
727.4,143,17.825101
507.5,149,17.849263
596.4,170,18.194529
809.5,182,18.224223
567.0,179,18.25331
648.9,185,18.283364
731.0,178,18.312177
491.5,179,18.34116
416.8,174,18.369557
588.6,193,18.401562
1208.2,160,18.427519
497.3,164,18.454136
566.4,183,18.483849
568.6,188,18.514757
818.3,182,18.863365
1047.4,179,18.89216
1156.9,189,18.922524
490.1,201,18.954883
814.3,173,18.982719
893.6,167,19.009642
651.9,186,19.039677
906.4,182,19.069572
407.4,195,19.1014
1306.5,212,19.135716
645.7,213,19.487912
888.2,193,19.519099
886.0,239,19.558058
406.2,158,19.584109
973.5,208,19.618132
727.2,193,19.649505
994.7,196,19.68155
914.8,179,19.710699
646.7,192,19.742048
1042.2,198,19.77453
643.3,174,19.802681
731.6,200,20.152276
1208.8,208,20.186058
972.7,197,20.217812
1288.9,203,20.25048
1235.6,199,20.282478
1145.9,223,20.318563
1037.6,232,20.356834
967.3,217,20.392306
1294.1,219,20.428015
1129.1,199,20.460626
809.9,184,20.808464
418.4,215,20.843286
652.9,189,20.873693
978.1,195,20.904953
1055.8,175,20.93283
993.7,215,20.967107
567.0,171,20.995023
810.3,193,21.028436
886.2,190,21.059471
564.0,226,21.095815
905.4,204,21.448348
1211.2,199,21.480625
972.7,212,21.514682
1140.1,207,21.548317
999.1,201,21.580777
737.6,203,21.613291
1230.8,206,21.646953
814.7,197,21.679212
1241.0,177,21.707812
968.5,201,21.740133
581.8,188,21.770537
816.3,239,22.127257
1130.1,206,22.160344
991.7,226,22.197387
829.3,208,22.230952
726.8,209,22.264678
1313.9,213,22.299385
1366.2,243,22.338761
980.3,185,22.368619
829.9,214,22.40308
829.1,202,22.753038
1547.4,170,22.780078
1139.5,175,22.807855
968.3,216,22.845244
961.9,224,22.88326
1477.1,182,22.913102
833.7,206,22.947111
1612.1,213,22.982376
574.8,223,23.018356
867.1,177,23.046873
1296.7,225,23.401919
969.7,209,23.435439
1133.3,213,23.469554
1287.5,218,23.504495
1141.3,200,23.537281
809.7,220,23.572907
1827.1,185,23.626959
1155.3,220,23.662873
974.1,185,23.692608
804.1,182,23.721988
734.6,198,24.073127
1690.4,214,24.107933
1069.2,189,24.138363
564.6,213,24.17311
1054.6,187,24.203347
1100.2,211,24.237562
814.9,197,24.269606
809.1,210,24.303896
1374.4,194,24.334928
1121.7,164,24.361224
1240.4,185,24.39097
975.5,189,24.739985
1053.0,197,24.771808
1390.4,207,24.805148
579.2,203,24.837955
758.6,187,24.868269
679.1,203,24.901136
1391.8,207,24.93522
1214.0,200,24.967647
1126.1,203,25.001118
656.5,185,25.030879
